label	count
aboard	0
about	1125
above	194
across	1681
after	569
against	111
along	8
amid	0
among	0
around	832
as	11521
at	13434
before	3325
behind	173
below	0
beneath	0
beside	83
between	1417
beyond	0
but	5724
by	1971
considering	0
despite	0
down	2513
during	2
except	72
excluding	0
following	40
for	4966
from	4260
in	12290
inside	21
into	2459
like	2261
near	115
of	17579
off	66
on	3888
onto	1162
outside	997
over	574
past	265
regarding	0
since	1306
than	1111
though	230
to	40400
toward	1505
under	77
underneath	0
until	1550
up	985
upon	45
versus	0
with	4930
within	0
without	0
aboard	0
about	1843
above	196
across	1687
after	580
against	45
along	9
amid	0
among	0
around	843
as	21526
at	13132
before	3221
behind	144
below	0
beneath	0
beside	87
between	1417
beyond	0
but	5703
by	1992
considering	0
despite	0
down	2526
during	2
except	72
excluding	0
following	40
for	4961
from	4110
in	12551
inside	21
into	2233
like	3829
near	331
of	17509
off	66
on	4071
onto	1161
outside	997
over	538
past	265
regarding	1
since	1309
than	1113
though	637
to	39010
toward	1538
under	94
underneath	0
until	1570
up	1056
upon	45
versus	0
with	4996
within	0
without	102
and	
or	
when	
which	
who	
whom	
that	
