voice_id	measured_lufs	gain_db_to_target	volume_linear_to_target	eq	length_scale_base	pitch_semitones	dur_s	words	measured_wpm	median_f0_hz	f0_p10_hz	f0_p90_hz	voiced_ratio	sex_guess	sex_confidence	newSpeed	newVol
4	-17.7	-2.3	0.77	off	1.1	0	19.01	68	214.67	216.18	179.27	275.63	0.79	female	0.78	0.83	1.17
5	-16.3	-3.7	0.65	off	1.1	0	18.39	68	221.86	103.04	85.8	149.8	0.7	male	1	0.86	1.38
6	-16.3	-3.7	0.65	off	1.1	0	20.31	68	200.93	118.55	94.64	490	0.78	male	0.73	0.78	1.38
7	-15.3	-4.7	0.58	off	1.09	0	20.72	68	196.88	108.09	86.13	501.14	0.73	male	0.8	0.76	1.55
8	-16.1	-3.9	0.64	off	1.1	0	18.34	68	222.42	112.5	89.27	446.4	0.77	male	0.8	0.86	1.41
9	-15	-5	0.56	off	1.1	0	17.29	68	236.01	225	186.86	441	0.81	female	0.8	0.92	1.6
10	-16.7	-3.3	0.68	off	1.1	0	17.79	68	229.39	193.42	172.27	408.33	0.77	female	0.17	0.89	1.32
11	-16.2	-3.8	0.65	off	1.1	0	16.54	68	246.61	195.13	165.79	259.41	0.76	female	0.25	0.96	1.39
12	-15.3	-4.7	0.58	off	1.1	0	19.91	68	204.91	204.17	157.5	262.5	0.75	female	0.48	0.80	1.55
13	-14.1	-5.9	0.51	off	1.1	0	17.38	68	234.75	185.29	168.32	242.31	0.81	female	0.01	0.91	1.78
14	-15.2	-4.8	0.58	off	1.1	0	18.98	68	214.94	222.73	183.75	279.11	0.76	female	0.94	0.83	1.56
15	-14.2	-5.8	0.51	off	1.1	0	20.06	68	203.37	227.32	204.17	412.96	0.85	female	0.8	0.79	1.75
16	-15.7	-4.3	0.61	off	1.1	0	17.64	68	231.35	115.45	91.12	170.27	0.77	male	0.79	0.90	1.48
17	-16.6	-3.4	0.68	off	1.1	0	20.34	68	200.58	167.05	138.68	204.17	0.75	ambiguous	0.5	0.78	1.33
18	-16.3	-3.7	0.65	off	1.1	0	19.12	68	213.37	222.73	176.4	282.69	0.79	female	0.94	0.83	1.38
19	-16.7	-3.3	0.68	off	1.1	0	16.44	68	248.18	131.25	112.5	246.95	0.79	male	0.48	0.96	1.32
20	-15.9	-4.1	0.62	off	1.05	0	21.52	68	189.55	229.69	193.42	479.35	0.78	female	0.8	0.74	1.44
21	-19.5	-0.5	0.94	off	1.1	0	17.35	68	235.22	115.45	86.13	220.72	0.69	male	0.79	0.91	0.95
22	-18.2	-1.8	0.81	off	1.1	0	18.63	68	218.95	94.64	79.32	469.15	0.73	male	0.8	0.85	1.11
23	-14.4	-5.6	0.52	off	1.1	0	20	68	203.96	216.18	182.23	265.66	0.81	female	0.78	0.79	1.71
24	-15.7	-4.3	0.61	off	1.1	0	20.29	68	201.04	133.64	103.04	182.23	0.74	male	0.53	0.78	1.48
25	-17.4	-2.6	0.74	off	1.1	0	17.64	68	231.35	176.4	153.13	479.35	0.73	ambiguous	0.4	0.90	1.21
26	-15.1	-4.9	0.57	off	1.1	0	20.56	68	198.43	158.63	123.88	344.53	0.73	ambiguous	0.4	0.77	1.58
27	-17.2	-2.8	0.72	off	1.1	0	18.27	68	223.27	108.09	82.28	479.35	0.8	male	0.8	0.87	1.24
28	-16.6	-3.4	0.68	off	1.1	0	17.8	68	229.24	147.99	119.19	206.07	0.75	male	0.18	0.89	1.33
29	-13.9	-6.1	0.5	off	1.1	0	18.97	68	215.07	245	193.42	290.13	0.78	female	1	0.84	1.82
30	-15.9	-4.1	0.62	off	1.1	0	18.46	68	221.02	212.02	182.23	259.41	0.76	female	0.68	0.86	1.44
31	-17.7	-2.3	0.77	off	1.1	0	17.23	68	236.81	95.87	82.58	490	0.74	male	0.8	0.92	1.17
32	-17.5	-2.5	0.75	off	1.1	0	18.25	68	223.55	130.47	110.69	459.38	0.76	male	0.49	0.87	1.2
33	-17.2	-2.8	0.72	off	1.08	0	21.07	68	193.62	179.27	147.69	490	0.77	ambiguous	0.4	0.75	1.24
34	-17	-3	0.71	off	1.1	0	19.66	68	207.57	114.25	90	162.13	0.71	male	0.8	0.81	1.27
