voice_index	speed	pitch	volume	noise	noise_w	silence	narratorScore	sex	gain	wpm	newSpeed	newVol	sex confidence
0	0.8	1	1	0.667	0.8	0.3							
1	0.8	1	1	0.667	0.8	0.3							
2	0.8	1	1	0.667	0.8	0.3							
3	0.8	1	1	0.667	0.8	0.3							
4	0.8	1	1	0.667	0.8	0.3	2.43	female	-2.3	214.67	0.83	1.17	0.48
5	0.8	1	1	0.667	0.8	0.3	-2.11	male	-3.7	221.86	0.86	1.38	0.14
6	0.8	1	1	0.667	0.8	0.3	1.58	male	-3.7	200.93	0.78	1.38	0.27
7	0.8	1	1	0.667	0.8	0.3	-2.14	male	-4.7	196.88	0.76	1.55	0.21
8	0.8	1	1	0.667	0.8	0.3	-0.33	male	-3.9	222.42	0.86	1.41	0.39
9	0.8	1	1	0.667	0.8	0.3	-1.21	female	-5	236.01	0.92	1.6	0.52
10	0.8	1	1	0.667	0.8	0.3	-0.94	female	-3.3	229.39	0.89	1.32	0.58
11	0.8	1	1	0.667	0.8	0.3	-1.74	female	-3.8	246.61	0.96	1.39	0.79
12	0.8	1	1	0.667	0.8	0.3	-1.29	female	-4.7	204.91	0.8	1.55	0.80
13	0.8	1	1	0.667	0.8	0.3	0.63	female	-5.9	234.75	0.91	1.78	0.31
14	0.8	1	1	0.667	0.8	0.3	-1.65	female	-4.8	214.94	0.83	1.56	0.10
15	0.8	1	1	0.667	0.8	0.3	2.63	female	-5.8	203.37	0.79	1.75	0.43
16	0.8	1	1	0.667	0.8	0.3	0.69	male	-4.3	231.35	0.9	1.48	0.80
17	0.8	1	1	0.667	0.8	0.3	0.56	ambiguous	-3.4	200.58	0.78	1.33	0.13
18	0.8	1	1	0.667	0.8	0.3	1	female	-3.7	213.37	0.83	1.38	0.80
19	0.8	1	1	0.667	0.8	0.3	0.95	male	-3.3	248.18	0.96	1.32	0.80
20	0.8	1	1	0.667	0.8	0.3	-0.1	female	-4.1	189.55	0.74	1.44	0.49
21	0.8	1	1	0.667	0.8	0.3	-0.57	male	-0.5	235.22	0.91	0.95	0.41
22	0.8	1	1	0.667	0.8	0.3	-1.87	male	-1.8	218.95	0.85	1.11	0.54
23	0.8	1	1	0.667	0.8	0.3	1.4	female	-5.6	203.96	0.79	1.71	0.40
24	0.8	1	1	0.667	0.8	0.3	0.3	male	-4.3	201.04	0.78	1.48	0.48
25	0.8	1	1	0.667	0.8	0.3	-3.26	ambiguous	-2.6	231.35	0.9	1.21	0.14
26	0.8	1	1	0.667	0.8	0.3	-3	ambiguous	-4.9	198.43	0.77	1.58	0.27
27	0.8	1	1	0.667	0.8	0.3	0.83	male	-2.8	223.27	0.87	1.24	0.21
28	0.8	1	1	0.667	0.8	0.3	-0.71	male	-3.4	229.24	0.89	1.33	0.39
29	0.8	1	1	0.667	0.8	0.3	-2.23	female	-6.1	215.07	0.84	1.82	0.52
30	0.8	1	1	0.667	0.8	0.3	-1	female	-4.1	221.02	0.86	1.44	0.58
31	0.8	1	1	0.667	0.8	0.3	-2.83	male	-2.3	236.81	0.92	1.17	0.79
32	0.8	1	1	0.667	0.8	0.3	0.41	male	-2.5	223.55	0.87	1.2	0.80
33	0.8	1	1	0.667	0.8	0.3	0.74	ambiguous	-2.8	193.62	0.75	1.24	0.31
34	0.8	1	1	0.667	0.8	0.3	0.26	male	-3	207.57	0.81	1.27	0.10
35	0.8	1	1	0.667	0.8	0.3	-2.1	male	-4.3	248.53	0.97	1.48	0.43
36	0.8	1	1	0.667	0.8	0.3	-5.19	male	-1.9	243.7	0.95	1.12	0.80
37	0.8	1	1	0.667	0.8	0.3	-1.93	ambiguous	-4.8	215.6	0.84	1.56	0.13
38	0.8	1	1	0.667	0.8	0.3	-2.42	female	-3.6	236.49	0.92	1.36	0.80
39	0.8	1	1	0.667	0.8	0.3	-2.33	ambiguous	-4.7	225.7	0.88	1.55	0.80
40	0.8	1	1	0.667	0.8	0.3	2.76	female	-4.2	196.11	0.76	1.46	0.49
41	0.8	1	1	0.667	0.8	0.3	-0.56	ambiguous	-3.7	221.58	0.86	1.38	0.41
42	0.8	1	1	0.667	0.8	0.3	-3.79	male	-3	218.27	0.85	1.27	0.54
43	0.8	1	1	0.667	0.8	0.3	-2	male	-2.1	221.58	0.86	1.15	0.40
44	0.8	1	1	0.667	0.8	0.3	2.46	male	-4.5	193.41	0.75	1.51	0.48
45	0.8	1	1	0.667	0.8	0.3	0.27	ambiguous	-2.3	200.7	0.78	1.17	0.14
46	0.8	1	1	0.667	0.8	0.3	2.59	female	-6	203.49	0.79	1.8	0.27
47	0.8	1	1	0.667	0.8	0.3	-1.7	female	-3.3	213.89	0.83	1.32	0.21
48	0.8	1	1	0.667	0.8	0.3	0.48	male	-3.9	203.72	0.79	1.41	0.39
49	0.8	1	1	0.667	0.8	0.3	-1.07	male	-3.5	179.76	0.7	1.35	0.52
50	0.8	1	1	0.667	0.8	0.3	-3.1	male	-3.3	218	0.85	1.32	0.58
51	0.8	1	1	0.667	0.8	0.3	1.08	male	-2.9	221.16	0.86	1.26	0.79
52	0.8	1	1	0.667	0.8	0.3	-1.67	male	-1.2	222.28	0.86	1.03	0.80
53	0.8	1	1	0.667	0.8	0.3	1.62	male	-3.6	218.27	0.85	1.36	0.31
54	0.8	1	1	0.667	0.8	0.3	-3.34	female	-4.8	213.37	0.83	1.56	0.10
55	0.8	1	1	0.667	0.8	0.3	0.76	male	-4.5	213.76	0.83	1.51	0.43
56	0.8	1	1	0.667	0.8	0.3	3.4	ambiguous	-2.6	168.31	0.65	1.21	0.80
57	0.8	1	1	0.667	0.8	0.3	-0.38	female	-4.1	226.29	0.88	1.44	0.13
58	0.8	1	1	0.667	0.8	0.3	2.33	male	-5.1	212.47	0.83	1.62	0.80
59	0.8	1	1	0.667	0.8	0.3	1.68	female	-3.7	190.78	0.74	1.38	0.80
60	0.8	1	1	0.667	0.8	0.3	0.18	female	-5.9	187.53	0.73	1.78	0.49
61	0.8	1	1	0.667	0.8	0.3	-2.77	female	-5.1	222	0.86	1.62	0.41
62	0.8	1	1	0.667	0.8	0.3	-0.34	female	-3.3	217.46	0.84	1.32	0.54
63	0.8	1	1	0.667	0.8	0.3	1.48	female	-3.3	229.09	0.89	1.32	0.40
64	0.8	1	1	0.667	0.8	0.3	-0.46	ambiguous	-4.9	187.63	0.73	1.58	0.48
65	0.8	1	1	0.667	0.8	0.3	2.54	female	-3.6	201.5	0.78	1.36	0.14
66	0.8	1	1	0.667	0.8	0.3	0.01	female	-4.5	178.39	0.69	1.51	0.27
