label	count
aboard	0
about	959
above	2
across	6
after	11
against	14
along	1
amid	0
among	0
around	11
as	10103
at	624
before	183
behind	10
below	0
beneath	0
beside	4
between	0
beyond	0
but	368
by	21
considering	0
despite	0
down	90
during	0
except	0
excluding	0
following	0
for	380
from	85
in	354
inside	0
into	6
like	1646
near	216
of	1019
off	0
on	183
onto	0
outside	0
over	3
past	0
regarding	1
since	3
than	2
though	407
to	1817
toward	72
under	17
underneath	0
until	20
up	110
upon	0
versus	0
with	105
within	0
without	102
and	
or	
when	
which	
who	
whom	
that	
