label	count	usually
Abbey	0	
Abby	2	
Abigail	0	
Ada	7	
Adalyn	0	
Adalynn	0	
Addison	0	
Adelaide	207	
Adele	0	
Adeline	0	
Adelyn	0	
Adriana	0	
Adrianna	0	
Adrienne	0	
Agnes	76	
Aileen	0	
Aimee	13	
Ainsley	0	
Aisha	0	
Aix	0	
Alaina	0	
Alana	0	
Alanna	0	
Alayna	0	
Alberta	0	
Alejandra	0	
Alessandra	0	
Alexa	0	
Alexandra	0	
Alexandria	0	
Alexia	0	
Alexis	0	
Alexus	0	
Alice	10	
Alicia	0	
Alina	0	
Alisa	0	
Alisha	0	
Alison	0	
Alissa	0	
Alivia	0	
Aliyah	0	
Allie	0	
Allison	8	
Allyson	0	
Alma	0	
Alondra	0	
Alyson	0	
Alyssa	0	
Amanda	0	
Amara	0	
Amari	0	
Amaya	0	
Amber	0	
Amelia	403	
Amie	0	
Amira	0	
Amiyah	0	
Amy	0	
Ana	0	
Anahi	0	
Anastasia	63	
Andrea	0	
Angela	0	
Angelia	0	
Angelica	308	
Angelina	0	
Angelique	0	
Angie	375	
Anita	0	
Aniya	0	
Aniyah	0	
Ann	0	
Anna	220	
Annabelle	0	
Anne	0	
Annette	0	
Annie	0	
Annika	0	
Annmarie	0	
Antoinette	0	
Antonia	0	
Anya	0	
April	0	
Arabella	0	
Araceli	0	
Aria	0	
Ariana	0	
Arianna	0	
Ariel	0	
Ariella	0	
Arielle	0	
Arlene	0	
Arya	0	
Ashlee	0	
Ashleigh	0	
Ashley	0	
Ashlyn	0	
Ashlynn	0	
Ashton	0	
Asia	7	
Aspen	0	
Athena	0	
Aubree	0	
Aubrey	0	
Audra	0	
Audrey	57	
Aurora	601	
Autumn	0	
Ava	10	
Avery	0	
Ayla	0	
Bailey	0	
Barbara	38	
Baylee	0	
Beatrice	0	
Becky	19	
Belinda	22	
Bella	99	
Bernadette	0	
Bernice	0	
Bertha	0	
Bessie	0	
Beth	0	
Bethany	0	
Betsy	0	
Betty	20	
Beverly	6	
Bianca	0	
Billie	0	
Bitsy	0	
Blair	0	
Blanca	0	
Bobbi	0	
Bobbie	0	
Bonita	0	
Bonnie	9433	
Brandi	0	
Brandy	0	
Breanna	0	
Brenda	2252	
Brenna	0	
Briana	0	
Brianna	0	
Brianne	0	
Bridget	0	
Bridgette	0	
Brielle	0	
Britney	0	
Brittany	0	
Brittney	0	
Brooke	6045	
Brooklyn	69	
Brooklynn	0	
Bryanna	0	
Brynlee	0	
Brynn	0	
Cadence	0	
Caitlin	0	
Caitlyn	0	
Cali	0	
Callie	0	
Camila	0	
Camilla	0	
Camille	0	
Camryn	0	
Candace	0	
Candice	71	
Candy	0	
Cara	0	
Carissa	0	
Carla	1	
Carlita	0	
Carly	0	
Carol	258	
Carole	0	
Carolina	2	
Caroline	19	
Carolyn	0	
Carrie	5	
Cassandra	0	
Cassidy	0	
Cassie	0	
Catalina	0	
Catherine	357	
Cathleen	0	
Cathy	0	
Cecelia	0	
Cecilia	8	
Celeste	0	
Celia	0	
Chanel	0	
Charity	0	
Charlee	0	
Charlene	0	
Charlotte	0	
Chasity	0	
Chelsea	0	
Chelsey	0	
Cheri	0	
Cherie	0	
Cheryl	231	
Chloe	0	
Christa	0	
Christi	0	
Christie	207	
Christina	0	
Christine	0	
Christy	0	
Ciara	0	
Cierra	0	
Cindy	0	
Claire	3	
Clara	303	
Clare	0	
Clarissa	0	
Claudia	0	
Colette	0	
Colleen	0	
Connie	196	
Constance	0	
Cora	47	
Corinne	0	
Cortney	0	
Courtney	0	
Cristina	0	
Crystal	0	
Cynthia	0	
Daisy	4	
Daniela	0	
Daniella	0	
Danielle	0	
Danna	0	
Daphne	0	
Darcy	0	
Darla	0	
Darlene	0	
Dawn	0	
Deana	0	
Deanna	0	
Debbie	0	
Debora	0	
Deborah	146	
Debra	0	
Delia	4	
Delilah	0	
Della	0	
Delores	0	
Deloris	0	
Dena	0	
Denise	44	
Desiree	0	
Destinee	0	
Destiny	0	
Devin	0	
Devon	0	
Diamond	0	
Diana	0	
Diane	0	
Dianna	0	
Dianne	0	
Dina	0	
Dixie	0	
Dolores	1	
Dominique	0	
Donna	157	
Dora	0	
Doreen	0	
Doris	65	
Dorothy	0	
Dove	0	
Dulce	0	
Ebony	0	
Eden	0	
Edith	0	
Edna	0	
Eileen	0	
Elaina	0	
Elaine	24	
Eleanor	0	
Elena	0	
Eliana	0	
Elisa	0	
Elisabeth	0	
Elise	0	
Elissa	0	
Eliza	1	
Elizabeth	560	
Ella	14	
Elle	0	
Ellen	123	
Elliana	0	
Ellie	6	
Eloise	314	
Elsa	0	
Elsie	0	
Elyse	0	
Ember	0	
Emely	0	
Emerson	0	
Emery	0	
Emilee	0	
Emilia	135	
Emilie	0	
Emily	389	
Emma	5	
Erica	0	
Ericka	0	
Erika	0	
Erin	182	
Ernestine	0	
Esmeralda	0	
Estella	0	
Esther	13	
Ethel	2	
Eunice	0	
Eva	38	
