label	count
began	867
bit	126
blew	64
broke	128
brought	75
burst	0
came	1235
caught	8
could	658
drank	66
fell	0
felt	120
fit	2
flew	0
found	153
gave	2027
got	783
heard	19
held	427
hit	216
hung	186
kept	138
knew	113
known	7
laid	0
led	1
left	1594
let	273
lit	6
made	822
met	15
put	1517
quit	0
ran	82
rang	20
read	124
rose	2
said	60715
sank	0
sat	263
saw	630
set	169
shift	1
shook	2517
shot	1
slid	139
spoke	21
spread	154
stood	704
thought	67
threw	9
told	162
took	1386
want	276
went	1404
wrote	121
placed	19
reads	2
get	640
am	16
call	97
:	0
looked	8171
was	5008
alighted	0
arose	0
awoke	0
bore	0
beat	2
became	4
bent	117
bereaved	0
bet	0
bade	0
bound	3
bled	0
blessed	0
bred	0
broadcast	0
built	8
burnt	0
bust	0
bought	4
chose	2
clung	0
clothed	0
cost	0
crept	0
crowed	0
cut	4
dealt	0
dug	116
did	242
drew	0
dreamt	0
drove	10
dwelt	0
ate	2
fed	0
fought	0
fled	0
flung	0
forbad	0
forecast	0
forgot	1
froze	0
ground	1
gripped	0
grew	142
had	1384
heaved	0
hid	0
hurt	11
knelt	0
knitted	0
leant	0
leapt	0
learnt	0
lent	0
lay	3
lost	10
meant	246
melted	1
mowed	0
paid	2
pent	0
pled	0
proved	1
rid	1
rode	0
sawed	0
sought	0
sold	0
sent	1
sewed	0
sheared	0
shed	2
shone	0
shod	0
showed	291
shred	0
shrank	0
shut	17
sang	0
slept	0
slung	10
slunk	0
slit	0
smelt	0
sowed	0
sped	2
spelt	0
spent	69
spilt	0
spun	112
spat	9
split	190
spoilt	0
sprang	0
stole	0
stuck	2
stung	0
stank	1
strode	0
struck	4
strung	0
strove	0
swore	0
sweat	2
swept	0
swelled	0
swam	0
swung	60
taught	0
tore	1
thrust	0
trod	0
understood	4
woke	4
wore	66
wove	0
wed	0
wept	0
wet	225
won	4
wound	0
wrung	0
alit	0
awaked	0
were	813
bereft	0
betted	0
bid	0
blest	0
broadcasted	0
burned	60
busted	0
clad	0
dreamed	0
dwelled	0
forbade	0
forecasted	0
gript	0
hove	0
kneeled	0
knit	0
leaned	689
leaped	1
learned	10
lighted	0
penned	0
pleaded	0
quitted	0
ridded	0
shoed	0
shredded	0
shrunk	0
smelled	0
speeded	0
spelled	120
spilled	3
spoiled	2
sprung	0
stunk	0
sweated	0
waked	0
wedded	0
wetted	0
stabbed	27
